Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Kenya,KEN,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Tanzania,TZA,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Uganda,UGA,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Rwanda,RWA,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Burundi,BDI,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,South Sudan,SSD,1,1,1
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,Somalia,SOM,0,0,0
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,"Congo, Dem. Rep.",COD,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Kenya,KEN,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Tanzania,TZA,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Uganda,UGA,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Rwanda,RWA,0,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Burundi,BDI,0,0,0
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,South Sudan,SSD,1,1,1
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,Somalia,SOM,0,0,0
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,"Congo, Dem. Rep.",COD,0,0,0
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Kenya,KEN,86,91,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Tanzania,TZA,82,90,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Uganda,UGA,93,96,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Rwanda,RWA,93,96,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Burundi,BDI,98,98,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,South Sudan,SSD,22,25,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Somalia,SOM,49,53,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,"Congo, Dem. Rep.",COD,63,74,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Kenya,KEN,72,77,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Tanzania,TZA,66,74,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Uganda,UGA,82,86,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Rwanda,RWA,89,92,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Burundi,BDI,79,82,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,South Sudan,SSD,19,23,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,Somalia,SOM,35,39,..
"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,"Congo, Dem. Rep.",COD,83,98,..
